"","Number of observations","Beta","Standard deviation","p-value","t-value"
"1",45,0.0186864694175877,0.0207567109570863,0.373238712771489,0.900261580759169
"2",48,0.00194048347869003,0.00740993865655682,0.794639303077679,0.261875781788418
"3",62,-0.00117526119931723,0.00607736039195883,0.847334277451856,-0.193383496044148
"4",62,-0.00063630984517988,0.00538617391234679,0.906366794927643,-0.118137634531492
"5",96,0.00129366966682857,0.00841546841526081,0.878163103294037,0.153725212072878
"6",84,-0.00612645495416733,0.00822004199362738,0.4582702897762,-0.745307014114634
"7",97,0.00127566374585444,0.00706523539236778,0.857109736203793,0.180555024002806
"8",99,0.00331275100787214,0.00567099843475405,0.560499560345649,0.584156572424765
"9",78,-0.00268182480347792,0.00866676897903262,0.757858258031332,-0.309437670482046
"10",98,-0.00035775657998935,0.0124733820521896,0.977179336034977,-0.0286816020300243
"11",97,0.00577338451215041,0.0210837256043948,0.784821508796433,0.273831324713644
"12",81,0.00502819341172261,0.0130088133542915,0.70017613461277,0.386522065831919
"13",60,-0.00605713877477493,0.0162608555720133,0.710928066486582,-0.372498159641729
"14",92,-0.00479634843096454,0.00638560380340619,0.454584995054947,-0.751119013742457
"15",100,0.00945196676316463,0.0155491457348701,0.544704494601647,0.60787691647702
"16",96,0.00766606254532723,0.011080566638562,0.49077545032896,0.691847519660971
"17",99,-0.00398874834977524,0.0107203543439164,0.710667596741061,-0.372072435463738
"18",93,-0.000907853003498946,0.00731518648549052,0.901511811038929,-0.124105243974251
"19",97,-0.0049178432996425,0.00523579993786083,0.350023955177833,-0.939272576876144
"20",92,-0.0138206211060576,0.0196652095930289,0.484038243508899,-0.702795515129261
"21",100,0.00265831258493955,0.00618435337737343,0.668271798634237,0.429844871844722
"22",83,-0.023706611731917,0.0268391504682881,0.379762515289154,-0.883284728401803
"23",100,-0.00057644779496177,0.00564685290602652,0.91890370312608,-0.102083019436643
"24",85,0.000652746904732427,0.00768098527972109,0.932485253176387,0.0849821840507589
"25",99,0.00686844530233991,0.00971011914304108,0.481081104576612,0.70734923034001
"26",97,0.00284538617493085,0.00955147430075762,0.766443822980473,0.297900207374809
"27",56,0.0366114018950076,0.0266852153268649,0.175961970155233,1.37197326109449
"28",83,-0.0169310245280742,0.0134294019627186,0.211112271109419,-1.26074300069925
"29",98,-0.0225810129281943,0.0229097951539232,0.326835725069297,-0.985648836075574
"30",99,-0.00911556332625216,0.0111316497255362,0.414900384363468,-0.81888700695827
"31",100,0.00341964136128613,0.00579320436468309,0.556386602169923,0.590284952164499
"32",86,-0.0105628715372283,0.0182934280161086,0.565242256493181,-0.577413458424906
"33",99,0.00278066619307756,0.00484584586953903,0.567442488353091,0.573824729044071
"34",100,-0.000996478645394113,0.0053476910191493,0.852572816443594,-0.18633811150006
"35",94,-0.0297897250832791,0.0249143028161479,0.234959343631016,-1.19568768602954
"36",97,0.00984121098315347,0.010724308049965,0.361173421148734,0.917654634434492
"37",99,0.0100881465387157,0.0154727214461516,0.51597837473565,0.651995615239672
"38",100,0.000791279488934775,0.0103033735040803,0.938943993330154,0.0767980980813142
"39",100,0.00982711507424328,0.0127717069250209,0.443518783252035,0.769444141799956
"40",100,-0.00300977471140716,0.0119059249615773,0.800966078649559,-0.252796378367938
"41",97,-0.0102953635169548,0.0143867323374507,0.476021898960305,-0.715615142860096
"42",100,-0.0036726331109323,0.0100108665866667,0.714527381123245,-0.366864654436989
"43",99,0.00954255749400927,0.0146117264680522,0.515285166671131,0.653075289554153
"44",100,-0.00349598218012983,0.00776656949776164,0.653630047483427,-0.450132092571551
"45",99,-0.019940174786096,0.0205211446746458,0.333672761519714,-0.971689206534973
"46",80,-0.00752563134583252,0.0241612697901812,0.756292364554025,-0.311474993292398
"47",83,0.00758785053977344,0.00738386801021938,0.307262229890111,1.02762543009595
"48",95,0.0140945382796946,0.0144175905807429,0.330867317438614,0.977593183879162
"49",83,-0.00404208456043,0.010029444770432,0.68802084349329,-0.403021767700096
"50",100,-0.00499562793804657,0.00733728702411611,0.497602255486427,-0.680854915669375
